Material,Material_Descr,Average Price,Base UoM,No. Cases/Truck,Plant,Plant Descr.,Material Group,Material Grp. Descr.,Purchasing Group,Purch Grp. Descr.,Product Hierarchy,Product Hier. Descr.,Weight of a Truck,FDC_ID,Team Member,,,,,,,,,,
100360,BEANS GARBANZO CAN-6/10, 	0.5253 ,LB,864,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602002031220,VEGETABLES/BEANS/CANNED,"34,992.000",173757,Kevin,,,,,,,,,,
100362,BEANS REFRIED CAN-6/10, 	0.9592 ,LB,864,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602002031220,VEGETABLES/BEANS/CANNED,"36,288.000",172438,Kevin,,,,,,,,,,
100364,BEANS VEGETARIAN CAN-6/10, 	0.5750 ,LB,864,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602002031220,VEGETABLES/BEANS/CANNED,"34,992.000",384634,Kevin,,,,,,,,,,
100365,BEANS PINTO CAN-6/10, 	0.5333 ,LB,864,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602002031220,VEGETABLES/BEANS/CANNED,"34,992.000",174286,Dojun,,,,,,,,,,
100366,BEANS SMALL RED CAN-6/10, 	0.5398 ,LB,864,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602002031220,VEGETABLES/BEANS/CANNED,"34,992.000",747443,Dojun,,,,,,,,,,
100368,BEANS BLACKEYE CAN-6/10, 	0.7261 ,LB,864,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602002031220,VEGETABLES/BEANS/CANNED,"34,992.000",2644293,Dojun,,,,,,,,,,
100369,BEANS PINK CAN-6/10, 	0.6621 ,LB,864,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602002031220,VEGETABLES/BEANS/CANNED,"34,992.000",2342845,Dojun,,,,,,,,,,
100370,BEANS RED KIDNEY CAN-6/10, 	0.5508 ,LB,864,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602002031220,VEGETABLES/BEANS/CANNED,"34,992.000",174285,Dojun,,,,,,,,,,
100371,BEANS BABY LIMA CAN-6/10, 	0.5452 ,LB,864,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602002031220,VEGETABLES/BEANS/CANNED,"34,992.000",2345373,Dojun,,,,,,,,,,
100373,BEANS GREAT NORTHERN CAN-6/10, 	0.5472 ,LB,864,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602002031220,VEGETABLES/BEANS/CANNED,"34,992.000",175192,Dojun,,,,,,,,,,
100382,BEANS PINTO DRY PKG-12/2 LB, 	0.5425 ,LB,"1,680",1000,DOMESTIC STATISTICAL 1000,704010,"BEANS, DRY",110,AMS-FRUIT & VEG,103602002031340,VEGETABLES/BEANS/DRY,"40,320.000",747445,Dojun,,,,,,,,,,
100396,PEANUT BUTTER SMOOTH JAR-6/5 LB, 	1.2686 ,LB,"1,232",1000,DOMESTIC STATISTICAL 1000,701010,PEANUT PRODUCTS,210,AMS-DOMESTIC,102202002031200,NUTS/PEANUT BUTTER/CANNED,"36,960.000",172458,Dojun,,,,,,,,,,
100400,FLOUR ALL PURP ENRCH BLCH BAG-8/5 LB, 	0.3847 ,LB,"1,071",1000,DOMESTIC STATISTICAL 1000,506020,"FLOUR, WHEAT",210,AMS-DOMESTIC,100802001031100,FLOUR/ALL PURPOSE/BAG,"42,840.000",789890,Dojun,,,,,,,,,,
100409,FLOUR WHOLE WHEAT BAG-50 LB, 	0.3110 ,LB,864,1000,DOMESTIC STATISTICAL 1000,506020,"FLOUR, WHEAT",210,AMS-DOMESTIC,100802007031100,FLOUR/WHOLE WHEAT/BAG,"43,200.000",790085,Dojun,,,,,,,,,,
100417,FLOUR BAKER HARD WHT BLCH-BULK, 	0.3476 ,LB,0,1000,DOMESTIC STATISTICAL 1000,506015,"FLOUR, BAKERY",210,AMS-DOMESTIC,100802002031180,FLOUR/BAKER/BULK,"45,000.000",170249,Dojun,,,,,,,,,,
100418,FLOUR BAKER HARD WHT UNBLCH-BULK, 	0.3350 ,LB,0,1000,DOMESTIC STATISTICAL 1000,506015,"FLOUR, BAKERY",210,AMS-DOMESTIC,100802002031180,FLOUR/BAKER/BULK,"45,000.000",170650,Dojun,,,,,,,,,,
100420,FLOUR BAKER HEARTH UNBLCH-BULK, 	0.3552 ,LB,0,1000,DOMESTIC STATISTICAL 1000,506015,"FLOUR, BAKERY",210,AMS-DOMESTIC,100802002031180,FLOUR/BAKER/BULK,"45,000.000",n/a,Dojun,,,,,,,,,,
